"Name","Longitude","Latitude","x","y","id"
"מזכירות לפיד",35.0326387,31.9172309,2410.78130116848,3712.43543517322,266
"Masjed Al-Rahma",34.4717062,31.5199882,2364.78138079052,3656.95514230943,267
"ديوان أبو اسنينة",35.0793652,31.5085677,2424.2585667707,3666.7927531407,268
"ديوان المحتسب",35.097976,31.5403043,2425.38252772619,3670.75399851623,269
"עיריית כפר סבא",34.9123102,32.1746487,2393.47758959176,3739.46286991856,270
"بلدية رام الله",35.1995836,31.9021164,2427.32000417705,3713.85427226527,271
"מועצת מיתר",34.9387085,31.3273734,2414.44130065123,3643.55122969718,272
"Municipality Hall",35.0988914,31.5341311,2425.60641097636,3670.06813065778,273
"עיריית אשקלון",34.5649811,31.6653421,2370.78840962368,3675.16741467196,274
"Eqtesadia",34.4279192,31.5108293,2360.70903423461,3655.12630994623,275
"עיריית רמת גן",34.8142936,32.0825754,2386.00763569321,3727.17322657153,276
"עיריית גבעתיים",34.8096601,32.0744222,2385.73657484616,3726.16054475572,277
"מזכירות",35.6878121,32.7981317,2454.13211251471,3825.22673626905,278
"Hamoury Family Hall",35.0918266,31.5501309,2424.56857758684,3671.75812733666,279
"Yatta Municipality",35.0901592,31.4481841,2426.62561584889,3660.11739510041,280
"עריית תל אביב",34.7805717,32.0818194,2382.76046923008,3726.46303733767,281
"עיריית רחובות",34.8081481,31.8941528,2389.50224766138,3705.6365288334,282
"Village Concile",35.0505306,32.1064732,2408.35075044065,3734.29842975544,283
"מועצה מקומית קדימה-צורן",34.9114636,32.2814257,2391.05005215216,3751.58489475777,284
"מזכירות גדות",35.6192469,33.0193214,2442.40070984263,3849.03404393981,285
"מועצה מקומית בנימינה גבעת עדה",34.9500696,32.5212093,2389.47520425308,3779.55821302475,286
"מועצה מקומית אבן יהודה",34.8881541,32.2692587,2389.06665630931,3749.76670329834,287
"Jawwal Balad Showroom",34.464827,31.5032106,2364.4639101096,3654.92374532987,288
"Jawwal Nasser Showroom",34.4608089,31.5362451,2363.37840108835,3658.60719240457,289
"المجلس المحلي طوبا الزنغرية",35.5938567,32.9662947,2441.20298081762,3842.50691910434,290
"עיריית קרית ביאליק",35.0817647,32.824728,2395.34541861626,3816.53016982978,291
"بلدية ياطر",35.3317167,33.1562281,2411.72261382311,3858.98252930068,292
"מזכירות כרם מהר""ל",34.9896121,32.6459085,2390.50518849543,3794.47060509376,293
"מועצה אזורית אשכול",34.4314503,31.3028229,2365.40277289978,3631.53822545214,294
"מועצה אזורית שדות נגב",34.5935445,31.4315932,2378.51906724657,3649.10332031661,295
"עירית נוף הגליל",35.3122618,32.7018909,2420.25660818853,3806.9790873473,296
"المجلس الإقليمي الفريديس",34.950579,32.5966284,2387.84959746594,3788.13656146521,297
"מועצה מקומית ירוחם",34.9281557,30.9882207,2420.65949356903,3604.7263953061,298
"Eileen Hall",35.0400185,32.129606,2406.82263729121,3736.73196277622,299
"Masaya Hall",35.0473597,32.127246,2407.58522344939,3736.60146875878,300
"Sanniriya Town Council",35.0468345,32.1311501,2407.44818606288,3737.03562478864,301
"דואר",34.7459021,31.8230047,2384.99727492295,3696.39896621982,302
"עירית דימונה",35.0329824,31.0639486,2429.32797953195,3615.28382560598,303
"Remas Hall",35.076118,31.5250585,2423.58284370205,3668.61003579613,304
"Reuven halls",35.0869604,31.5470558,2424.16109662283,3671.31712429994,305
"بلدية اريحا",35.4597785,31.8555357,2453.63940218095,3713.49932697648,306
"Village council building",35.1390912,31.7277298,2425.2858250823,3692.86388586752,307
"מועצה מקומית שוהם",34.9452948,31.9989508,2400.52011065764,3720.099696967,308
"מועצה מקומית שלומי",35.1447988,33.0745891,2395.72661645604,3846.11085085533,309
"מועצה מקומית קדימה צורן",34.9436843,32.2859949,2394.06062886647,3752.70696698078,310
"מזכירות קבוצת יבנה",34.7219098,31.8155102,2382.82908756195,3695.10600632902,311
"ديوان الزغير",35.0871609,31.5549601,2424.00834450282,3672.22090680462,312
"פקיעין",35.3334842,32.9795816,2415.95099212522,3838.94870914473,313
"بلدية بيت أمر",35.0976352,31.6260091,2423.47832989122,3680.5062721475,314
"Andalus Halls",35.212618,31.8871582,2428.91705556383,3712.39787114106,315
"صالات القصور",35.207242,31.8886698,2428.36145518228,3712.46835581523,316
"صالات بدران / الحدائق",35.2073707,31.8890342,2428.36588534546,3712.51226686694,317
"صالات اللد للمناسبات",35.2073037,31.8904234,2428.32861582184,3712.66913297437,318
"صالة دير طريف",35.210289,31.8865802,2428.70365748553,3712.28806615442,319
"بلدية بيت ساحور",35.2171127,31.7040019,2433.40167142331,3691.62999366677,320
"Halhoul Municipality",35.0997778,31.5779955,2424.73586323779,3675.07951314256,321
"מועצה מקומית חריש",35.0414739,32.4590875,2399.65930905753,3774.2200901659,322
"מזכירות מעיין צבי",34.9408268,32.5687903,2387.52989893837,3784.79050394811,323
"עירית מעלות",35.2850359,33.0121247,2410.56692336938,3841.71081792137,324
"Ma'ale Gamla Secretariat",35.6840981,32.8898448,2451.63811480729,3835.58596313775,325
"מועצה אזורית לב השרון",34.8945161,32.2607154,2389.86870151498,3748.91438757516,326
"מועצה אזורית גליל עליון",35.5681667,33.1944091,2433.42801560101,3867.93197792057,327
"مجلس عبلين المحلي",35.1920996,32.82243,2405.98112580612,3818.37365075988,328
"بيت الشعب - نساء",35.0433603,32.6961321,2394.54735291717,3801.19256274131,329
"بيت الشعب - رجال",35.0437841,32.695306,2394.60656986361,3801.1067355287,330
