"dates","festivities"
2007-03-30,"Birth of the Prophet"
2007-05-01,"Labor Day"
2007-08-10,"Muhammad's Ascension to Heaven"
2007-10-12,"Festival of Breaking the Fast"
2007-11-15,"Independence Day"
2007-12-19,"Feast of the Sacrifice"
2008-01-09,"Islamic New Year's Day"
2008-03-19,"Birth of the Prophet"
2008-05-01,"Labor Day"
2008-07-30,"Muhammad's Ascension to Heaven"
2008-10-01,"Festival of Breaking the Fast"
2008-11-15,"Independence Day"
2008-12-08,"Feast of the Sacrifice"
2008-12-28,"Islamic New Year's Day"
2009-03-08,"Birth of the Prophet"
2009-05-01,"Labor Day"
2009-07-19,"Muhammad's Ascension to Heaven"
2009-09-20,"Festival of Breaking the Fast"
2009-11-15,"Independence Day"
2009-11-27,"Feast of the Sacrifice"
2009-12-17,"Islamic New Year's Day"
2010-02-25,"Birth of the Prophet"
2010-05-01,"Labor Day"
2010-07-08,"Muhammad's Ascension to Heaven"
2010-09-09,"Festival of Breaking the Fast"
2010-11-15,"Independence Day"
2010-11-16,"Feast of the Sacrifice"
2010-12-07,"Islamic New Year's Day"
2011-02-15,"Birth of the Prophet"
2011-05-01,"Labor Day"
2011-06-28,"Muhammad's Ascension to Heaven"
2011-08-30,"Festival of Breaking the Fast"
2011-11-06,"Feast of the Sacrifice"
2011-11-15,"Independence Day"
2011-11-26,"Islamic New Year's Day"
2012-02-04,"Birth of the Prophet"
2012-05-01,"Labor Day"
2012-06-16,"Muhammad's Ascension to Heaven"
2012-08-18,"Festival of Breaking the Fast"
2012-10-25,"Feast of the Sacrifice"
2012-11-14,"Islamic New Year's Day"
2012-11-15,"Independence Day"
2013-01-23,"Birth of the Prophet"
2013-05-01,"Labor Day"
2013-06-05,"Muhammad's Ascension to Heaven"
2013-08-07,"Festival of Breaking the Fast"
2013-10-14,"Feast of the Sacrifice"
2013-11-04,"Islamic New Year's Day"
2013-11-15,"Independence Day"
2014-01-13,"Birth of the Prophet"
2014-05-01,"Labor Day"
2014-05-26,"Muhammad's Ascension to Heaven"
2014-07-28,"Festival of Breaking the Fast"
2014-10-04,"Feast of the Sacrifice"
2014-10-24,"Islamic New Year's Day"
2014-11-15,"Independence Day"
2015-01-02,"Birth of the Prophet"
2015-05-01,"Labor Day"
2015-05-15,"Muhammad's Ascension to Heaven"
2015-07-17,"Festival of Breaking the Fast"
2015-09-23,"Feast of the Sacrifice"
2015-10-14,"Islamic New Year's Day"
2015-11-15,"Independence Day"
2015-12-23,"Birth of the Prophet"
2016-05-01,"Labor Day"
2016-05-04,"Muhammad's Ascension to Heaven"
2016-07-06,"Festival of Breaking the Fast"
2016-09-12,"Feast of the Sacrifice"
2016-10-02,"Islamic New Year's Day"
2016-11-15,"Independence Day"
2016-12-11,"Birth of the Prophet"
2017-04-23,"Muhammad's Ascension to Heaven"
2017-05-01,"Labor Day"
2017-06-25,"Festival of Breaking the Fast"
2017-09-01,"Feast of the Sacrifice"
2017-09-21,"Islamic New Year's Day"
2017-11-15,"Independence Day"
2017-11-30,"Birth of the Prophet"
2018-04-12,"Muhammad's Ascension to Heaven"
2018-05-01,"Labor Day"
2018-06-14,"Festival of Breaking the Fast"
2018-08-21,"Feast of the Sacrifice"
2018-09-11,"Islamic New Year's Day"
2018-11-15,"Independence Day"
2018-11-20,"Birth of the Prophet"
2019-04-02,"Muhammad's Ascension to Heaven"
2019-05-01,"Labor Day"
2019-06-04,"Festival of Breaking the Fast"
2019-08-11,"Feast of the Sacrifice"
2019-08-31,"Islamic New Year's Day"
2019-11-09,"Birth of the Prophet"
2019-11-15,"Independence Day"
2020-03-21,"Muhammad's Ascension to Heaven"
2020-05-01,"Labor Day"
2020-05-23,"Festival of Breaking the Fast"
2020-07-30,"Feast of the Sacrifice"
2020-08-19,"Islamic New Year's Day"
2020-10-28,"Birth of the Prophet"
2020-11-15,"Independence Day"
2021-03-10,"Muhammad's Ascension to Heaven"
2021-05-01,"Labor Day"
2021-05-12,"Festival of Breaking the Fast"
2021-07-19,"Feast of the Sacrifice"
2021-08-09,"Islamic New Year's Day"
2021-10-18,"Birth of the Prophet"
2021-11-15,"Independence Day"
2022-02-28,"Muhammad's Ascension to Heaven"
2022-05-01,"Labor Day"
2022-05-02,"Festival of Breaking the Fast"
2022-07-09,"Feast of the Sacrifice"
2022-07-29,"Islamic New Year's Day"
2022-10-07,"Birth of the Prophet"
2022-11-15,"Independence Day"
2023-02-17,"Muhammad's Ascension to Heaven"
2023-04-21,"Festival of Breaking the Fast"
2023-05-01,"Labor Day"
2023-06-28,"Feast of the Sacrifice"
2023-07-18,"Islamic New Year's Day"
2023-09-26,"Birth of the Prophet"
2023-11-15,"Independence Day"
